ID,Nome_Scuola,Citta,Land,OID_Erasmus,Sito_Web,ISCED,Fonte_URL
DE-WAVE2-0347,Gymnasium Johanneum,Ostbevern,Nordrhein-Westfalen,E10241320,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0348,Friedrich-Spee-Gesamtschule Paderborn,Paderborn,Nordrhein-Westfalen,E10020108,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0349,Gesamtschule Paderborn-Elsen,Paderborn,Nordrhein-Westfalen,E10260973,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0350,Goerdeler-Gymnasium,Paderborn,Nordrhein-Westfalen,E10312707,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0351,Gymnasium Schloß Neuhaus,Paderborn,Nordrhein-Westfalen,E10192391,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0352,Gymnasium St. Michael Paderborn,Paderborn,Nordrhein-Westfalen,E10068497,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0353,Heinz-Nixdorf Gesamtschule Paderborn,Paderborn,Nordrhein-Westfalen,E10172063,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0354,Pelizaeus-Gymnasium,Paderborn,Nordrhein-Westfalen,E10349085,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0355,Realschule In der Südstadt,Paderborn,Nordrhein-Westfalen,E10307395,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0356,Reismann-Gymnasium Paderborn,Paderborn,Nordrhein-Westfalen,E10248868,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0357,Abtei-Gymnasium Brauweiler,Pulheim,Nordrhein-Westfalen,E10143616,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0358,Fürstenberg-Gymnasium Recke,Recke,Nordrhein-Westfalen,E10403576,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0359,Gymnasium Petrinum,Recklinghausen,Nordrhein-Westfalen,E10122255,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0360,Hittorf Gymnasium,Recklinghausen,Nordrhein-Westfalen,E10166210,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0361,Wolfgang Borchert Gesamtschule,Recklinghausen,Nordrhein-Westfalen,E10201600,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0362,Sekundarschule Hohe Mark Reken,Reken,Nordrhein-Westfalen,E10338541,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0363,"Albert-Einstein-Schule, Städtische",Remscheid,Nordrhein-Westfalen,E10169905,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
